id,source,related,gui,os,duplicate,prereq_tutorial,links,comments
62,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-use-the-digitalocean-api-v2-with-ansible-2-0-on-ubuntu-16-04,
64,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-use-logrotate-and-s3cmd-to-archive-logs-to-object-storage-on-ubuntu-16-04,
65,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-install-phpipam-on-ubuntu-16-04,
66,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-run-a-secure-mongodb-server-with-openvpn-and-docker-on-ubuntu-16-04,
67,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-install-wordpress-with-caddy-on-ubuntu-16-04,
68,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-create-django-views,
72,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-configure-a-continuous-integration-testing-environment-with-docker-and-docker-compose-on-ubuntu-16-04,
73,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-develop-a-node-js-tcp-server-application-using-pm2-and-nginx-on-ubuntu-16-04,
74,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-change-a-mysql-data-directory-to-a-new-location-using-a-symlink,
75,do,y,n,ubuntu16,n,n,https://www.digitalocean.com/community/tutorials/how-to-install-and-configure-nats-on-ubuntu-16-04,
76,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-build-go-from-source-on-ubuntu-16-04,
78,do,y,n,ubuntu16,n,n,https://www.digitalocean.com/community/tutorials/how-to-install-concourse-ci-on-ubuntu-16-04,
79,do,y,n,ubuntu16,n,n,https://www.digitalocean.com/community/tutorials/how-to-monitor-your-ubuntu-16-04-system-with-sysdig,
80,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-back-up-mysql-databases-to-object-storage-with-percona-on-ubuntu-16-04,
81,do,y,n,ubuntu16,n,y,https://www.digitalocean.com/community/tutorials/how-to-use-full-text-search-in-postgresql-on-ubuntu-16-04,
